SHARECLASS_ID,SHARECLASS_NAME,FUND_NAME,CATEGORY,SHARPE_RATIO_1Y,SHARPE_RATIO_3Y,SHARPE_RATIO_5Y,BETA_1Y,BETA_3Y,BETA_5Y,INFO_RATIO_3Y,INFO_RATIO_5Y
F00000N1UJ                    ,BRADESCO FUNDO DE INVESTIMENTO EM PIBBS II - AES,BRADESCO FUNDO DE INVESTIMENTO EM PIBBS II - AES,Equity,0.88,0.48,0.38,<null>,<null>,<null>,<null>,<null>
F00000MYPX                    ,BRADSEG GIF IV FUNDO DE INVESTIMENTO MULTIMERCADO - INVESTIMENTO NO EXTERIOR,BRADSEG GIF IV FUNDO DE INVESTIMENTO MULTIMERCADO - INVESTIMENTO NO EXTERIOR,Equity,-0.7,-0.93,-0.52,<null>,<null>,<null>,<null>,<null>
F00000MQ75                    ,BRASIL PLURAL EQUITY HEDGE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,BRASIL PLURAL EQUITY HEDGE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,Equity,4.14,2.01,2.13,-0.4,<null>,<null>,<null>,<null>
F00000MQ78                    ,BRASIL PLURAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO DE AES,BRASIL PLURAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO DE AES,Equity,0.58,0.65,0.76,<null>,<null>,<null>,<null>,<null>
F00000MQ77                    ,BRASIL PLURAL INSTITUCIONAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,BRASIL PLURAL INSTITUCIONAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,Equity,6.11,3.89,4.08,-0.45,<null>,<null>,<null>,<null>
F00000MQ76                    ,BRASIL PLURAL YIELD FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI,BRASIL PLURAL YIELD FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI,Equity,17.67,22.86,15.21,0.93,<null>,<null>,<null>,<null>
F00000J0JG                    ,BRTRAC 10,BRTRAC 10,Equity,0.14,0.38,0.26,<null>,<null>,<null>,<null>,<null>
F0AUS070L0                    ,BT Australian Fixed Interest Index,BT Australian Fixed Interest Index Fund,Equity,0.19,1.14,1.3,0.99,0.98,0.93,-1.3,-0.5806
F0AUS070L2                    ,BT Australian Shares Index W,BT Australian Shares Index Fund,Equity,1.98,0.57,0.86,0.97,0.97,0.97,-0.69,-0.84069
F0AUS070L3                    ,BT International Fixed Interest Index W,BT International Fixed Interest Index Fund,Equity,0.27,1.39,1.64,0.99,0.98,0.99,-1.66,-1.38619
F0AUS070L4                    ,BT International Shares Index W,BT International Shares Index Fund,Equity,2.25,1.18,1.62,0.99,<null>,<null>,<null>,<null>
F0AUS070L1                    ,BT Property Securities Index W,BT Property Securities Index Fund,Equity,0.73,0.87,1.02,0.98,0.98,0.98,-0.24,0.11876
F0AUS05S2K                    ,BT Wrap Essentials - Vanguard Australian Shares Index,BT Vanguard Australian Shares Index,Equity,1.84,0.47,0.76,0.95,0.98,0.97,-3.9,-1.3155
F00000NO79                    ,BT Lifetime SE-Vanguard Index Aust Share,BT Vanguard Index Aust Share,Equity,2,0.56,0.84,0.85,0.89,0.89,-0.49,-0.72929
F00000NO78                    ,BT Lifetime SE-Vanguard Index Intl Share,BT Vanguard Index Intl Share,Equity,2.13,1.09,1.59,0.87,<null>,<null>,<null>,<null>
F0AUS05S27                    ,BT Wrap Essentials - Vanguard International Shares Index,BT Vanguard International Shares Index,Equity,2.07,1.06,1.56,0.98,<null>,<null>,<null>,<null>
F0AUS06P23                    ,BT Wrap Essentials - BlackRock Scientific Indexed Australian Listed Property,BT Wrap Essentials - BlackRock Scientific Indexed Australian Listed Property,Equity,0.68,0.75,0.88,0.88,0.97,0.96,-0.66,-0.86517
F000002MAY                    ,Bahana ABF Indonesia Bond Index ETF,Bahana ABF Indonesia Bond Index ETF,Equity,1.22,1.13,0.58,0.95,<null>,<null>,<null>,<null>
F00000NZ4P                    ,Baillie Gifford Active Index-Linked Gilt Plus Fund B Income,Baillie Gifford Active Index-Linked Gilt Plus Fund,Equity,-0.26,0.64,0.72,1.01,<null>,<null>,<null>,<null>
F0000008ZH                    ,Baillie Gifford Active Index-Linked Gilt Plus Fund C Accumulation,Baillie Gifford Active Index-Linked Gilt Plus Fund,Equity,-0.22,0.66,0.75,1.01,<null>,<null>,<null>,<null>
F0000008ZG                    ,Baillie Gifford Active Index-Linked Gilt Plus Fund C Income,Baillie Gifford Active Index-Linked Gilt Plus Fund,Equity,-0.22,0.67,0.74,1.01,<null>,<null>,<null>,<null>
F000005IXF                    ,BCT (MPF) Pro Choice-BCT (Pro) Hang Seng Index Tracking Fund,Bank Consortium MPF-Hang Seng Idx-Tr,Equity,2.34,0.52,0.55,0.77,0.95,0.96,0.05,-0.2365
F00000MT3O                    ,Bank of Communications Schroder SZSE 300 Value ETF Feeder Fund,Bank of Communications Schroder SZSE 300 Value ETF Feeder Fund,Equity,1.81,0.78,0.69,1.3,0.92,0.97,0.43,0.51598
F0000040G3                    ,Bank of Communications Schroders SSE 180 Corp Administration ETF Feeder,Bank of Communications Schroders SSE 180 Corp Administration ETF Feeder,Equity,1.75,0.69,0.61,1.2,1.08,1.11,0.59,0.63449
F0GBR04K0E                    ,Bankia Banca Privada ndice S&P 500 FI,Bankia Banca Privada ndice S&P 500 FI,Equity,4.62,0.92,1.36,1.03,1.01,1,-1.64,-1.93751
F0GBR04Q30                    ,Bankia ndice Eurostoxx FI,Bankia ndice Eurostoxx FI,Equity,2.03,0.59,0.78,1.12,<null>,<null>,<null>,<null>
F0GBR05U19                    ,Bankia ndice Ibex FI,Bankia ndice Ibex FI,Equity,1.33,0.27,0.63,0.92,<null>,<null>,<null>,<null>
F0GBR04K3Q                    ,Bankinter EE.UU. Nasdaq 100 FI,Bankinter EE.UU. Nasdaq 100 FI,Equity,3.26,1.04,1.48,0.79,0.92,0.94,-1.04,-0.30426
F000002942                    ,Bankinter Eurostoxx Inverso FI,Bankinter Eurostoxx Inverso FI,Equity,-2.4,-0.97,-1.15,308.19,14.94,-1.96,-0.97,-1.14144
F0GBR04Q8S                    ,Bankinter Futuro Ibex FI,Bankinter Futuro Ibex FI,Equity,1.3,0.27,0.67,0.91,<null>,<null>,<null>,<null>
F0GBR04Q9K                    ,Bankinter ndice Amrica FI,Bankinter ndice Amrica FI,Equity,3.95,0.96,1.44,1.17,1,0.98,-0.92,-0.99559
F0GBR04Q9I                    ,Bankinter ndice Europeo 50 FI,Bankinter ndice Europeo 50 FI,Equity,2.08,0.59,0.8,1.11,<null>,<null>,<null>,<null>
F0GBR04Q9G                    ,Bankinter ndice Japn FI,Bankinter ndice Japn FI,Equity,3.35,0.67,1.12,0.91,<null>,<null>,<null>,<null>
F00000JQDF                    ,Barclays ETN+ S&P VEQTOR ETN,Barclays ETN+ S&P VEQTOR ETN,Equity,3.88,-0.13,0.43,0.79,0.61,0.6,-1.91,-2.03487
F00000OVWX                    ,Barclays ETN+ Shiller Capet ETN,Barclays ETN+ Shiller Capet ETN,Equity,3.86,1.27,1.67,0.49,0.9,0.91,1.11,0.87442
F00000O02X                    ,Barclays Multi-Manager Fund - GlobalAccess Global Corporate Bond Fund A GBP Distribution,Barclays Multi-Manager Fund PLC-GlobalAccess Global Corporate Bond Fund,Equity,0.69,0.86,0.65,0.9,0.96,1.11,-0.73,-0.46597
F00000NNNS                    ,Barclays Multi-Manager Fund - GlobalAccess Global Corporate Bond Fund A USD Accumulation,Barclays Multi-Manager Fund PLC-GlobalAccess Global Corporate Bond Fund,Equity,0.83,0.93,0.72,0.91,0.97,1.09,-0.33,-0.36133
F00000JVSL                    ,Barclays Multi-Manager Fund - GlobalAccess Global Corporate Bond Fund B EUR Accumulation,Barclays Multi-Manager Fund PLC-GlobalAccess Global Corporate Bond Fund,Equity,0.7,0.9,0.71,0.92,0.96,1.08,-1.34,-0.76952
F00000O02Y                    ,Barclays Multi-Manager Fund - GlobalAccess Global Corporate Bond Fund B EUR Distribution,Barclays Multi-Manager Fund PLC-GlobalAccess Global Corporate Bond Fund,Equity,0.72,0.87,0.69,0.9,0.96,1.08,-1.35,-0.81463
F00000JVSI                    ,Barclays Multi-Manager Fund - GlobalAccess Global Corporate Bond Fund B GBP Distribution,Barclays Multi-Manager Fund PLC-GlobalAccess Global Corporate Bond Fund,Equity,0.76,0.91,0.7,0.89,0.96,1.1,-0.57,-0.3525
F00000JVSE                    ,Barclays Multi-Manager Fund - GlobalAccess Global Corporate Bond Fund B USD Distribution,Barclays Multi-Manager Fund PLC-GlobalAccess Global Corporate Bond Fund,Equity,0.94,0.99,0.78,0.9,0.97,1.09,-0.13,-0.23826
F00000JVSJ                    ,Barclays Multi-Manager Fund - GlobalAccess Global Corporate Bond Fund M EUR Accumulation,Barclays Multi-Manager Fund PLC-GlobalAccess Global Corporate Bond Fund,Equity,0.87,1.01,0.81,0.9,0.96,1.08,-0.89,-0.47206
F00000JVSF                    ,Barclays Multi-Manager Fund - GlobalAccess Global Corporate Bond Fund M GBP Distribution,Barclays Multi-Manager Fund PLC-GlobalAccess Global Corporate Bond Fund,Equity,0.92,1.04,0.81,0.89,0.96,1.11,-0.09,-0.04659
F0000024TC                    ,Barclays Multi-Manager Fund - GlobalAccess Global Corporate Bond Fund M USD Accumulation,Barclays Multi-Manager Fund PLC-GlobalAccess Global Corporate Bond Fund,Equity,1.08,1.12,0.89,0.9,0.97,1.09,0.37,0.0853
F0000024TA                    ,Barclays Multi-Manager Fund - GlobalAccess Global Corporate Bond Fund M USD Distribution,Barclays Multi-Manager Fund PLC-GlobalAccess Global Corporate Bond Fund,Equity,1.05,1.12,0.89,0.91,0.96,1.09,0.33,0.08673
F00000JVSH                    ,Barclays Multi-Manager Fund - GlobalAccess Global Corporate Bond Fund Z EUR Accumulation,Barclays Multi-Manager Fund PLC-GlobalAccess Global Corporate Bond Fund,Equity,0.48,0.68,0.51,0.9,0.96,1.1,-2.07,-1.20758
F00000JVSG                    ,Barclays Multi-Manager Fund - GlobalAccess Global Corporate Bond Fund Z USD Accumulation,Barclays Multi-Manager Fund PLC-GlobalAccess Global Corporate Bond Fund,Equity,0.66,0.78,0.59,0.9,0.96,1.09,-0.9,-0.71567
F00000JVTI                    ,Barclays Multi-Manager Fund - GlobalAccess Japan Fund M EUR Accumulation,Barclays Multi-Manager Fund PLC-GlobalAccess Japan Fund,Equity,3.62,0.76,1.17,0.96,<null>,<null>,<null>,<null>
F00000NNO5                    ,Barclays Multi-Manager Fund - GlobalAccess Japan Fund M GBP Distribution,Barclays Multi-Manager Fund PLC-GlobalAccess Japan Fund,Equity,3.64,0.73,1.15,0.95,<null>,<null>,<null>,<null>
F0GBR06KJY                    ,Barclays Multi-Manager Fund - GlobalAccess Japan Fund M JPY Distribution,Barclays Multi-Manager Fund PLC-GlobalAccess Japan Fund,Equity,3.64,0.81,1.22,0.96,<null>,<null>,<null>,<null>
F00000MJ11                    ,Barclays Multi-Manager Fund - GlobalAccess Japan Fund Z EUR Accumulation,Barclays Multi-Manager Fund PLC-GlobalAccess Japan Fund,Equity,3.45,0.69,1.09,0.95,<null>,<null>,<null>,<null>
F00000JVTM                    ,Barclays Multi-Manager Fund - GlobalAccess Japan Fund Z JPY Accumulation,Barclays Multi-Manager Fund PLC-GlobalAccess Japan Fund,Equity,3.47,0.74,1.15,0.96,<null>,<null>,<null>,<null>
F00000LOCV                    ,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 2 A EUR Acc,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 2,Equity,1.4,0.7,0.79,0.36,0.35,0.41,-0.56,-0.71724
F00000LOCS                    ,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 2 A EUR Inc,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 2,Equity,1.4,0.7,0.79,0.36,0.35,0.41,-0.56,-0.71625
F000002K2J                    ,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 2 A GBP Acc,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 2,Equity,1.49,0.72,0.83,0.58,0.38,0.44,-0.19,-0.44047
F000002K1Y                    ,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 2 A GBP Inc,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 2,Equity,1.49,0.72,0.83,0.59,0.38,0.44,-0.19,-0.43929
F00000MSHE                    ,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 2 A JPY Inc,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 2,Equity,1.36,0.69,0.8,0.15,0.28,0.34,0.3,-0.05883
F00000LODF                    ,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 2 A USD Acc,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 2,Equity,1.5,0.73,0.83,1.16,0.41,0.45,0.11,-0.26744
F00000LODC                    ,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 2 A USD Inc,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 2,Equity,1.5,0.74,0.83,1.15,0.41,0.45,0.11,-0.26638
F00000LOCX                    ,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 2 C EUR Acc,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 2,Equity,1.52,0.79,0.88,0.36,0.35,0.41,-0.5,-0.64754
F000003YH1                    ,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 2 C GBP Acc,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 2,Equity,1.61,0.81,0.91,0.58,0.38,0.44,-0.12,-0.36372
F000002NEX                    ,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 2 C GBP Inc,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 2,Equity,1.61,0.81,0.92,0.58,0.38,0.43,-0.12,-0.36232
F00000LODT                    ,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 3 A EUR Acc,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 3,Equity,1.52,0.8,0.91,0.48,0.44,0.5,-0.29,-0.39541
F00000LODQ                    ,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 3 A EUR Inc,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 3,Equity,1.52,0.8,0.91,0.48,0.44,0.5,-0.28,-0.39275
F000002NF0                    ,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 3 A GBP Acc,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 3,Equity,1.61,0.82,0.94,0.72,0.47,0.53,0.12,-0.08614
F000002NEZ                    ,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 3 A GBP Inc,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 3,Equity,1.62,0.83,0.94,0.72,0.47,0.53,0.12,-0.08482
F00000MSHF                    ,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 3 A JPY Inc,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 3,Equity,1.45,0.8,0.93,0.65,0.5,0.55,0.35,0.04537
F00000LOEC                    ,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 3 A USD Acc,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 3,Equity,1.57,0.82,0.93,1.54,0.51,0.56,0.37,0.06016
F00000LOEA                    ,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 3 A USD Inc,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 3,Equity,1.58,0.82,0.93,1.52,0.51,0.55,0.37,0.06222
F00000LODV                    ,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 3 C EUR Acc,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 3,Equity,1.61,0.87,0.99,0.48,0.44,0.5,-0.22,-0.31583
F000002K1P                    ,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 3 C GBP Acc,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 3,Equity,1.71,0.9,1.02,0.72,0.47,0.53,0.19,-0.00081
F000002NF3                    ,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 3 C GBP Inc,Barclays Portfolios SICAV - Barclays GlobalBeta Portfolio 3,Equity,1.71,0.9,1.02,0.72,0.47,0.53,0.19,0.00024
F00000NC5L                    ,Bendigo Conservative Index Fund,Bendigo Conservative Index,Equity,2.12,1.26,1.77,1.31,1.19,1.26,0.24,0.70264
FOUSA06JHM                    ,BetaPro Canadian Gold Miners -2x Daily Bear ETF,BetaPro Canadian Gold Miners -2x Daily Bear ETF,Equity,0.31,-0.6,0.07,-152.31,-113.25,19.86,-0.6,0.06342
FOUSA06JHL                    ,BetaPro Canadian Gold Miners 2x Daily Bull ETF,BetaPro Canadian Gold Miners 2x Daily Bull ETF,Equity,-0.78,0.41,-0.13,159.35,209.47,41.14,0.41,-0.13799
FOUSA06OMI                    ,BetaPro Crude Oil -2x Daily Bear ETF,BetaPro Crude Oil -2x Daily Bear ETF,Equity,-0.65,0.57,0.38,-85.89,199.72,71.98,0.57,0.37605
FOUSA06OMH                    ,BetaPro Crude Oil 2x Daily Bull ETF,BetaPro Crude Oil 2x Daily Bull ETF,Equity,-0.01,-1.02,-0.74,93.26,-184.51,-47.61,-1.02,-0.7477
FOUSA06P0T                    ,BetaPro Gold Bullion -2x Daily Bear ETF,BetaPro Gold Bullion -2x Daily Bear ETF,Equity,-0.03,-0.27,0.27,-59.97,-56.91,-9.36,-0.27,0.26533
FOUSA06P0S                    ,BetaPro Gold Bullion 2x Daily Bull ETF,BetaPro Gold Bullion 2x Daily Bull ETF,Equity,-0.25,0.06,-0.47,58.57,61.84,11.03,0.06,-0.47544
FOUSA06UU3                    ,BetaPro NASDAQ-100 -2x Daily Bear ETF,BetaPro NASDAQ-100 -2x Daily Bear ETF,Equity,-4.1,-1.36,-1.87,-98.77,-8.79,-30.86,-1.36,-1.88219
FOUSA06UU2                    ,BetaPro NASDAQ-100 2x Daily Bull ETF,BetaPro NASDAQ-100 2x Daily Bull ETF,Equity,3.31,0.98,1.42,104.82,8.78,31.64,0.98,1.41458
FOUSA06OMG                    ,BetaPro Natural Gas -2x Daily Bear ETF,BetaPro Natural Gas -2x Daily Bear ETF,Equity,0.52,0.63,0.34,60.34,36.4,-25.01,0.63,0.33296
FOUSA06OME                    ,BetaPro Natural Gas 2x Daily Bull ETF,BetaPro Natural Gas 2x Daily Bull ETF,Equity,-0.98,-1.11,-0.77,-31.59,-57.35,3.67,-1.11,-0.77217
FOUSA06UU1                    ,BetaPro S&P 500 -2x Daily Bear ETF,BetaPro S&P 500 -2x Daily Bear ETF,Equity,-5.76,-1.3,-1.8,-7.55,28.8,-2.42,-1.3,-1.80909
FOUSA06UU0                    ,BetaPro S&P 500 2x Daily Bull ETF,BetaPro S&P 500 2x Daily Bull ETF,Equity,4.6,0.83,1.33,8.5,-29.43,3.98,0.83,1.31616
F000005QOY                    ,BetaPro S&P 500 Daily Inverse ETF,BetaPro S&P 500 Daily Inverse ETF,Equity,-5.93,-1.32,-1.8,-3.87,14.65,-0.96,-1.32,-1.82601
F00000LNER                    ,BetaPro S&P 500 VIX Short-Term Futures 2x Daily Bull ETF,BetaPro S&P 500 VIX Short-Term Futures 2x Daily Bull ETF,Equity,-6.73,-1.13,-1.32,-15.13,156.03,79.52,-1.13,-1.32067
F00000O2LH                    ,BetaPro S&P 500 VIX Short-Term Futures Daily Inverse ETF,BetaPro S&P 500 VIX Short-Term Futures Daily Inverse ETF,Equity,3.41,0.89,0.92,-31.86,-124.37,-77.29,0.89,0.91924
F00000LNES                    ,BetaPro S&P 500 VIX Short-Term Futures ETF,BetaPro S&P 500 VIX Short-Term Futures ETF,Equity,-5.38,-1.13,-1.26,1.05,92.75,51.28,-1.13,-1.26502
FOUSA06JHG                    ,BetaPro S&P/TSX 60 -2x Daily Bear ETF,BetaPro S&P/TSX 60 -2x Daily Bear ETF,Equity,-2.63,-1.24,-1.4,-29.14,-2.66,-9.8,-1.24,-1.41492
FOUSA06JHF                    ,BetaPro S&P/TSX 60 2x Daily Bull ETF,BetaPro S&P/TSX 60 2x Daily Bull ETF,Equity,1.85,0.6,0.89,31.64,0.28,12.01,0.6,0.87578
F000002L3F                    ,BetaPro S&P/TSX 60 Daily Inverse ETF,BetaPro S&P/TSX 60 Daily Inverse ETF,Equity,-2.79,-1.27,-1.44,-14.53,-0.85,-4.87,-1.26,-1.4699
FOUSA06JHK                    ,BetaPro S&P/TSX Capped Energy -2x Daily Bear ETF,BetaPro S&P/TSX Capped Energy -2x Daily Bear ETF,Equity,-0.03,-0.12,-0.17,-7.82,70.65,47.41,-0.12,-0.17576
FOUSA06JHJ                    ,BetaPro S&P/TSX Capped Energy 2x Daily Bull ETF,BetaPro S&P/TSX Capped Energy 2x Daily Bull ETF,Equity,-0.19,-0.44,-0.23,-9.24,-102.08,-49.33,-0.44,-0.23548
FOUSA06JHI                    ,BetaPro S&P/TSX Capped Financials -2x Daily Bear ETF,BetaPro S&P/TSX Capped Financials -2x Daily Bear ETF,Equity,-2.81,-1.09,-1.54,-9.85,95.09,40.61,-1.09,-1.55435
FOUSA06JHH                    ,BetaPro S&P/TSX Capped Financials 2x Daily Bull ETF,BetaPro S&P/TSX Capped Financials 2x Daily Bull ETF,Equity,2.3,0.77,1.23,14.52,-86.48,-32.58,0.77,1.22105
F000003VFR                    ,BetaPro Silver -2x Daily Bear ETF,BetaPro Silver -2x Daily Bear ETF,Equity,0.22,-0.21,0.4,-121.78,-83.8,-8.93,-0.21,0.39163
F000003VFS                    ,BetaPro Silver 2x Daily Bull ETF,BetaPro Silver 2x Daily Bull ETF,Equity,-0.61,-0.06,-0.54,110.62,72.68,5.28,-0.06,-0.54873
F00000LNUL                    ,BetaShares S&P/ASX 200 Financials Sector ETF,BetaShares S&P/ASX 200 Financials Sector ETF,Equity,1.19,0.36,0.78,1.56,1.22,1.23,-0.14,0.29825
F00000LNUM                    ,BetaShares S&P/ASX 200 Resources Sector ETF,BetaShares S&P/ASX 200 Resources Sector ETF,Equity,1.82,0.18,0.1,0.15,0.99,0.94,-0.18,-0.51213
F0AUS05HJ5                    ,BlackRock Australian Share Fund,BlackRock Australian Share,Equity,2.04,0.63,0.79,0.65,0.88,0.93,0.09,-0.18448
F000003VXV                    ,BlackRock Charitrak Common Investment Fund A Acc,BlackRock Charitrak Common Investment Fund,Equity,1.99,0.99,1.01,0.8,0.97,0.99,0.03,0.03241
F000003VXX                    ,BlackRock Charitrak Common Investment Fund A Inc,BlackRock Charitrak Common Investment Fund,Equity,1.99,1,1.02,0.8,0.97,1,0.05,0.07642
F00000JWG3                    ,BlackRock Corporate Bond 1-10 Year Fund A Acc,BlackRock Corporate Bond 1-10 Year Fund,Equity,1.25,1.1,1.13,0.59,0.52,0.58,-0.56,-0.45538
F00000OJRR                    ,BlackRock Corporate Bond 1-10 Year Fund D Acc,BlackRock Corporate Bond 1-10 Year Fund,Equity,1.38,1.19,1.22,0.59,0.52,0.57,-0.46,-0.33436
F00000ITYN                    ,BlackRock Corporate Bond 1-10 Year Fund L Acc,BlackRock Corporate Bond 1-10 Year Fund,Equity,1.35,1.18,1.21,0.59,0.52,0.57,-0.47,-0.34886
F00000NOT2                    ,BlackRock Corporate Bond 1-10 Year Fund X Acc,BlackRock Corporate Bond 1-10 Year Fund,Equity,1.44,1.25,1.27,0.59,0.51,0.57,-0.41,-0.27933
F00000MAPM                    ,BlackRock LifePath Index 2020 Fund Class K Shares,BlackRock LifePath Index 2020 Fund,Equity,5.52,0.93,1.24,0.9,0.94,0.94,0.22,-0.13643
F00000MAPE                    ,BlackRock LifePath Index 2020 Fund Institutional Shares,BlackRock LifePath Index 2020 Fund,Equity,5.44,0.92,1.23,0.9,0.94,0.94,0.16,-0.16951
F00000MAPD                    ,BlackRock LifePath Index 2020 Fund Investor A Shares,BlackRock LifePath Index 2020 Fund,Equity,5.47,0.87,1.18,0.88,0.94,0.94,-0.12,-0.43615
F00000MAPL                    ,BlackRock LifePath Index 2025 Fund Class K Shares,BlackRock LifePath Index 2025 Fund,Equity,5.96,0.9,1.23,1,0.96,0.94,0.26,-0.26346
F00000MAPC                    ,BlackRock LifePath Index 2025 Fund Institutional Shares,BlackRock LifePath Index 2025 Fund,Equity,6.23,0.89,1.22,0.96,0.96,0.94,0.2,-0.30006
F00000MAPB                    ,BlackRock LifePath Index 2025 Fund Investor A Shares,BlackRock LifePath Index 2025 Fund,Equity,5.93,0.85,1.18,0.98,0.96,0.94,-0.03,-0.52317
F00000MAPK                    ,BlackRock LifePath Index 2030 Fund Class K Shares,BlackRock LifePath Index 2030 Fund,Equity,6.75,0.86,1.2,0.96,0.95,0.92,0.08,-0.4319
F00000MAPA                    ,BlackRock LifePath Index 2030 Fund Institutional Shares,BlackRock LifePath Index 2030 Fund,Equity,6.5,0.85,1.19,1,0.96,0.92,0.05,-0.4632
F00000MAP9                    ,BlackRock LifePath Index 2030 Fund Investor A Shares,BlackRock LifePath Index 2030 Fund,Equity,6.6,0.82,1.16,0.97,0.95,0.92,-0.16,-0.64059
F00000MAPJ                    ,BlackRock LifePath Index 2035 Fund Class K Shares,BlackRock LifePath Index 2035 Fund,Equity,6.97,0.84,1.19,0.93,0.95,0.91,0.03,-0.44137
F00000MAP8                    ,BlackRock LifePath Index 2035 Fund Institutional Shares,BlackRock LifePath Index 2035 Fund,Equity,6.94,0.83,1.18,0.93,0.95,0.92,-0.01,-0.46428
F00000MAP7                    ,BlackRock LifePath Index 2035 Fund Investor A Shares,BlackRock LifePath Index 2035 Fund,Equity,6.71,0.8,1.14,0.95,0.95,0.92,-0.19,-0.61728
F00000MAPI                    ,BlackRock LifePath Index 2040 Fund Class K Shares,BlackRock LifePath Index 2040 Fund,Equity,7.32,0.82,1.17,0.9,0.98,0.94,0.09,-0.26397
F00000MAP6                    ,BlackRock LifePath Index 2040 Fund Institutional Shares,BlackRock LifePath Index 2040 Fund,Equity,7.29,0.81,1.16,0.9,0.98,0.94,0.06,-0.30463
F00000MAP5                    ,BlackRock LifePath Index 2040 Fund Investor A Shares,BlackRock LifePath Index 2040 Fund,Equity,6.96,0.78,1.13,0.92,0.98,0.94,-0.11,-0.45378
F00000MAPH                    ,BlackRock LifePath Index 2045 Fund Class K Shares,BlackRock LifePath Index 2045 Fund,Equity,7.15,0.82,1.18,0.94,0.99,0.96,0.22,0.02552
F00000MAP4                    ,BlackRock LifePath Index 2045 Fund Institutional Shares,BlackRock LifePath Index 2045 Fund,Equity,7.12,0.81,1.17,0.94,0.99,0.96,0.2,-0.00926
F00000MAP3                    ,BlackRock LifePath Index 2045 Fund Investor A Shares,BlackRock LifePath Index 2045 Fund,Equity,7.17,0.79,1.14,0.91,0.99,0.96,0.04,-0.16278
F00000MAPG                    ,BlackRock LifePath Index 2050 Fund Class K Shares,BlackRock LifePath Index 2050 Fund,Equity,7.32,0.82,1.19,0.94,0.99,0.98,0.28,0.30246
F00000MAP2                    ,BlackRock LifePath Index 2050 Fund Institutional Shares,BlackRock LifePath Index 2050 Fund,Equity,7.28,0.81,1.19,0.94,0.99,0.98,0.25,0.26096
F00000MAP1                    ,BlackRock LifePath Index 2050 Fund Investor A Shares,BlackRock LifePath Index 2050 Fund,Equity,6.99,0.79,1.16,0.96,0.99,0.98,0.09,0.10012
F00000MAP0                    ,BlackRock LifePath Index 2055 Fund Class K Shares,BlackRock LifePath Index 2055 Fund,Equity,7.04,0.82,1.21,0.98,0.99,0.99,0.32,0.5585
